# Near Earth Objects Data
# Generated: 2025-11-27 20:51:01
# Total objects: 185

номер,Название,Обозначение,Перигелий,Афелий,Минимальное расстояние до Земли,Абсолютная магнитуда,Является NEO,Потенциально опасен
433,Eros,,1.1331992,1.783,0.14835,10.38,True,False
719,Albert,,1.1954412,4.078,0.20132,15.59,True,False
887,Alinda,,1.0607662,3.886,0.07968,13.81,True,False
1036,Ganymed,,1.2439721,4.086,0.34334,9.18,True,False
1221,Amor,,1.0854463,2.754,0.10888,17.37,True,False
1566,Icarus,,0.1864944,1.97,0.03393,16.53,True,True
1580,Betulia,,1.1246949,3.265,0.13249,14.54,True,False
1620,Geographos,,0.8278036,1.664,0.02936,15.26,True,True
1627,Ivar,,1.1228225,2.603,0.10923,12.79,True,False
1685,Toro,,0.7714334,1.964,0.05104,14.28,True,False
1862,Apollo,,0.6473271,2.295,0.02601,16.08,True,True
1863,Antinous,,0.8898834,3.63,0.18731,15.46,True,False
1864,Daedalus,,0.5632327,2.358,0.26909,14.84,True,False
1865,Cerberus,,0.5757765,1.584,0.15659,16.77,True,False
1866,Sisyphus,,0.8745093,2.912,0.10367,12.48,True,False
1915,Quetzalcoatl,,1.0932525,3.995,0.1095,18.38,True,False
1916,Boreas,,1.2518389,3.293,0.25224,14.93,True,False
1917,Cuyo,,1.0624078,3.236,0.0721,14.38,True,False
1943,Anteros,,1.0644372,1.797,0.06093,15.69,True,False
1980,Tezcatlipoca,,1.0859131,2.333,0.24497,13.81,True,False
1981,Midas,,0.6208148,2.932,0.00278,15.28,True,True
2059,Baboquivari,,1.2374736,4.046,0.24502,15.98,True,False
2061,Anza,,1.051986,3.479,0.05576,16.7,True,False
2062,Aten,,0.7901849,1.144,0.11329,17.11,True,False
2063,Bacchus,,0.7012796,1.455,0.06715,17.21,True,False
2100,Ra-Shalom,,0.4688462,1.195,0.14985,16.24,True,False
2101,Adonis,,0.4420218,3.306,0.01155,18.69,True,True
2102,Tantalus,,0.903881,1.676,0.0426,16.0,True,True
2135,Aristaeus,,0.7946143,2.404,0.00897,18.05,True,True
2201,Oljato,,0.6301835,3.727,0.00278,15.32,True,True
2202,Pele,,1.1158103,3.465,0.14318,16.99,True,False
2212,Hephaistos,,0.3583882,3.977,0.11194,13.49,True,False
2329,Orthos,,0.8358909,3.987,0.09356,14.57,True,False
2340,Hathor,,0.4641772,1.224,0.00663,20.43,True,True
2368,Beltrovata,,1.2345943,2.975,0.23145,15.16,True,False
2608,Seneca,,1.0812424,3.957,0.13506,17.48,True,False
3102,Krok,,1.1849415,3.118,0.18334,16.16,True,False
3103,Eger,,0.9066919,1.901,0.07856,15.3,True,False
3122,Florence,,1.0202206,2.518,0.04357,14.08,True,True
3199,Nefertiti,,1.1271263,2.022,0.21607,14.99,True,False
3200,Phaethon,,0.1402114,2.403,0.0187,14.39,True,True
3271,Ul,,1.2704436,2.933,0.27586,16.55,True,False
3288,Seleucus,,1.1098042,2.959,0.10466,15.34,True,False
3352,McAuliffe,,1.1854718,2.573,0.20224,15.93,True,False
3360,Syrinx,,0.6260315,4.309,0.10596,16.04,True,False
3361,Orpheus,,0.8190773,1.601,0.01464,19.5,True,True
3362,Khufu,,0.5259519,1.453,0.01324,18.52,True,True
3551,Verenia,,1.0740687,3.112,0.07492,16.72,True,False
3552,Don Quixote,,1.2496296,7.287,0.34304,13.04,True,False
3553,Mera,,1.1184377,2.171,0.29339,16.41,True,False
3554,Amun,,0.700625,1.247,0.25063,15.91,True,False
3671,Dionysus,,1.0077493,3.393,0.02205,16.49,True,True
3691,Bede,,1.2695225,2.279,0.3503,14.93,True,False
3752,Camillo,,0.987361,1.84,0.07778,15.14,True,False
3753,Cruithne,,0.4840506,1.512,0.07028,15.42,True,False
3757,Anagolay,,1.0165896,2.652,0.03642,19.01,True,True
3838,Epona,,0.4473439,2.562,0.15899,15.62,True,False
3908,Nyx,,1.042869,2.813,0.05687,17.45,True,False
3988,Huma,,1.0555605,2.034,0.17841,17.94,True,False
4015,Wilson-Harrington,,0.9690136,4.283,0.04298,16.19,True,True
4034,Vishnu,,0.5889945,1.53,0.01911,18.5,True,True
4055,Magellan,,1.2268684,2.414,0.23889,14.92,True,False
4179,Toutatis,,0.954285,4.132,0.0065,15.29,True,True
4183,Cuno,,0.7206695,3.241,0.02837,14.17,True,True
4197,Morpheus,,0.5223147,4.068,0.09852,14.97,True,False
4257,Ubasti,,0.8756851,2.419,0.1689,15.97,True,False
4341,Poseidon,,0.5869052,3.082,0.194,16.08,True,False
4401,Aditi,,1.1285056,4.038,0.33395,16.12,True,False
4450,Pan,,0.5961937,2.288,0.02873,17.27,True,True
4486,Mithra,,0.7500938,3.663,0.0459,15.61,True,True
4487,Pocahontas,,1.2174276,2.243,0.21898,17.48,True,False
4503,Cleobulus,,1.2847849,4.122,0.30548,15.82,True,False
4544,Xanthus,,0.7813502,1.303,0.17333,17.37,True,False
4581,Asclepius,,0.6576317,1.388,0.00349,20.74,True,True
4596,,,1.0750138,3.404,0.29661,16.45,True,False
4660,Nereus,,0.9525181,2.018,0.00387,18.75,True,True
4688,,,1.0768727,3.388,0.1129,19.6,True,False
4769,Castalia,,0.5494331,1.577,0.02057,17.4,True,True
4947,Ninkasi,,1.1393309,1.601,0.14963,18.09,True,False
4953,,,0.5553848,2.688,0.02446,14.88,True,True
4954,Eric,,1.1020308,2.901,0.19429,12.56,True,False
4957,Brucemurray,,1.222957,1.908,0.42521,15.05,True,False
